Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,9:15:37,-12.1113700866,-76.9391784667,316.20,18520000.00
0/0/2000,9:15:40,-12.1113901138,-76.9391174316,331.20,18520000.00
0/0/2000,9:15:43,-12.1114597320,-76.9391326904,328.00,18520000.00
0/0/2000,9:15:46,-12.1114997863,-76.9391326904,323.80,18520000.00
0/0/2000,9:15:49,-12.1115398406,-76.9391021728,320.90,18520000.00
0/0/2000,9:15:52,-12.1115903854,-76.9390716552,315.80,18520000.00
0/0/2000,9:15:55,-12.1116199493,-76.9390716552,314.30,18520000.00
0/0/2000,9:15:58,-12.1116600036,-76.9390716552,313.40,18520000.00
0/0/2000,9:16:1,-12.1117000579,-76.9390563964,313.00,18520000.00
0/0/2000,9:16:4,-12.1117401123,-76.9390411376,312.60,18520000.00
0/0/2000,9:16:7,-12.1117801666,-76.9390335083,311.70,18520000.00
0/0/2000,9:16:10,-12.1118297576,-76.9390335083,309.50,18520000.00
0/0/2000,9:16:13,-12.1118803024,-76.9390182495,307.20,18520000.00
0/0/2000,9:16:16,-12.1119298934,-76.9389877319,310.80,18520000.00
0/0/2000,9:16:19,-12.1119804382,-76.9389190673,318.00,18520000.00
0/0/2000,9:16:22,-12.1120300292,-76.9388885498,319.30,18520000.00
0/0/2000,9:16:25,-12.1120796203,-76.9388809204,319.40,18520000.00
0/0/2000,9:16:28,-12.1121196746,-76.9388504028,319.90,18520000.00
0/0/2000,9:16:31,-12.1121797561,-76.9387893676,318.90,18520000.00
0/0/2000,9:16:34,-12.1122198104,-76.9387283325,319.80,18520000.00
0/0/2000,9:16:37,-12.1122598648,-76.9387130737,317.40,18520000.00
4/22/2023,9:16:40,-12.1122999191,-76.9386901855,317.40,4.80
4/22/2023,9:16:43,-12.1123399734,-76.9386672973,308.90,4.80
4/22/2023,9:16:46,-12.1124000549,-76.9386291503,303.10,4.80
4/22/2023,9:16:49,-12.1124401092,-76.9385910034,303.90,4.80
4/22/2023,9:16:52,-12.1124801635,-76.9385910034,302.40,4.80
4/22/2023,9:16:55,-12.1125202178,-76.9385681152,304.00,4.80
4/22/2023,9:16:58,-12.1125402450,-76.9385299682,314.40,4.80
4/22/2023,9:17:1,-12.1125698089,-76.9384994506,323.40,4.80
4/22/2023,9:17:4,-12.1126098632,-76.9384613037,325.40,4.80
4/22/2023,9:17:7,-12.1126499176,-76.9384536743,324.60,4.80
4/22/2023,9:17:10,-12.1127004623,-76.9384231567,324.80,4.80
4/22/2023,9:17:13,-12.1127300262,-76.9384002685,327.80,4.80
4/22/2023,9:17:16,-12.1127700805,-76.9383773803,331.90,4.80
4/22/2023,9:17:19,-12.1127996444,-76.9383621215,326.10,4.80
4/22/2023,9:17:22,-12.1128396987,-76.9383316040,323.50,4.80
4/22/2023,9:17:25,-12.1128702163,-76.9383087158,329.30,4.80
4/22/2023,9:17:28,-12.1128997802,-76.9382629394,337.50,4.80
4/22/2023,9:17:31,-12.1129302978,-76.9382400512,343.30,4.80
4/22/2023,9:17:34,-12.1129598617,-76.9382171630,347.20,4.80
4/22/2023,9:17:37,-12.1129999160,-76.9381790161,346.70,4.80
4/22/2023,9:17:40,-12.1130304336,-76.9381332397,350.80,4.80
4/22/2023,9:17:43,-12.1130695343,-76.9380874633,352.90,4.80
4/22/2023,9:17:46,-12.1131095886,-76.9380569458,332.60,4.80
4/22/2023,9:17:49,-12.1131496429,-76.9380416870,324.90,4.80
4/22/2023,9:17:52,-12.1131896972,-76.9380187988,321.10,4.80
4/22/2023,9:17:55,-12.1132202148,-76.9380187988,318.50,4.80
4/22/2023,9:17:58,-12.1132602691,-76.9380111694,316.60,4.80
4/22/2023,9:18:1,-12.1132898330,-76.9380035400,315.30,4.80
4/22/2023,9:18:4,-12.1133298873,-76.9379806518,314.60,4.80
4/22/2023,9:18:7,-12.1133699417,-76.9379501342,313.50,4.80
4/22/2023,9:18:10,-12.1134004592,-76.9379119873,313.40,4.80
4/22/2023,9:18:13,-12.1134395599,-76.9378890991,313.40,4.80
4/22/2023,9:18:16,-12.1134700775,-76.9378662109,313.40,4.80
4/22/2023,9:18:19,-12.1135101318,-76.9378433227,313.50,4.80
4/22/2023,9:18:22,-12.1135396957,-76.9377975463,313.60,4.80
4/22/2023,9:18:25,-12.1135797500,-76.9377822875,313.80,4.80
4/22/2023,9:18:28,-12.1135997772,-76.9377517700,313.90,4.80
4/22/2023,9:18:31,-12.1136398315,-76.9377212524,313.50,4.80
4/22/2023,9:18:34,-12.1136798858,-76.9376907348,312.90,4.80
4/22/2023,9:18:37,-12.1137104034,-76.9376678466,312.50,4.80
4/22/2023,9:18:40,-12.1137399673,-76.9376068115,316.90,4.80
0/0/2000,9:18:43,-12.1137695312,-76.9375534057,324.60,18520000.00
0/0/2000,9:18:46,-12.1137895584,-76.9375228881,332.70,18520000.00
0/0/2000,9:18:49,-12.1138095855,-76.9374694824,338.50,18520000.00
0/0/2000,9:18:52,-12.1138496398,-76.9374313354,342.10,18520000.00
0/0/2000,9:18:55,-12.1138801574,-76.9374084472,342.70,18520000.00
0/0/2000,9:18:58,-12.1139202117,-76.9373931884,342.10,18520000.00
0/0/2000,9:19:1,-12.1139497756,-76.9373703002,341.70,18520000.00
0/0/2000,9:19:4,-12.1139802932,-76.9373397827,339.10,18520000.00
0/0/2000,9:19:7,-12.1140098571,-76.9373092651,341.20,18520000.00
0/0/2000,9:19:10,-12.1140403747,-76.9372863769,344.50,18520000.00
0/0/2000,9:19:13,-12.1140804290,-76.9372634887,346.60,18520000.00
0/0/2000,9:19:16,-12.1141004562,-76.9372329711,349.30,18520000.00
0/0/2000,9:19:19,-12.1141395568,-76.9372100830,350.20,18520000.00
0/0/2000,9:19:22,-12.1141700744,-76.9371795654,349.50,18520000.00
0/0/2000,9:19:25,-12.1141901016,-76.9371490478,349.10,18520000.00
0/0/2000,9:19:28,-12.1142301559,-76.9371185302,346.30,18520000.00
0/0/2000,9:19:31,-12.1142501831,-76.9370880126,342.90,18520000.00
0/0/2000,9:19:34,-12.1142597198,-76.9370574951,340.60,18520000.00
0/0/2000,9:19:37,-12.1142301559,-76.9370422363,340.50,18520000.00
0/0/2000,9:19:40,-12.1141996383,-76.9369964599,343.00,18520000.00
0/0/2000,9:19:43,-12.1141796112,-76.9369277954,346.60,18520000.00
0/0/2000,9:19:46,-12.1141500473,-76.9368972778,351.90,18520000.00
0/0/2000,9:19:49,-12.1141099929,-76.9368667602,356.10,18520000.00
0/0/2000,9:19:52,-12.1140804290,-76.9368362426,359.70,18520000.00
0/0/2000,9:19:55,-12.1140499114,-76.9367980957,363.00,18520000.00
0/0/2000,9:19:58,-12.1140203475,-76.9367599487,370.40,18520000.00
0/0/2000,9:20:1,-12.1139698028,-76.9367294311,380.20,18520000.00
0/0/2000,9:20:4,-12.1139297485,-76.9366836547,387.90,18520000.00
0/0/2000,9:20:7,-12.1139001846,-76.9366302490,393.10,18520000.00
0/0/2000,9:20:10,-12.1138696670,-76.9365768432,396.40,18520000.00
0/0/2000,9:20:13,-12.1138296127,-76.9365463256,392.90,18520000.00
0/0/2000,9:20:16,-12.1138000488,-76.9365005493,392.70,18520000.00
0/0/2000,9:20:19,-12.1138296127,-76.9364471435,389.90,18520000.00
0/0/2000,9:20:22,-12.1138696670,-76.9364166259,386.70,18520000.00
0/0/2000,9:20:25,-12.1139001846,-76.9364089965,382.40,18520000.00
0/0/2000,9:20:28,-12.1139297485,-76.9364471435,378.90,18520000.00
0/0/2000,9:20:31,-12.1139497756,-76.9364929199,376.00,18520000.00
0/0/2000,9:20:34,-12.1139698028,-76.9365234375,371.20,18520000.00
0/0/2000,9:20:37,-12.1140003204,-76.9365615844,368.50,18520000.00
0/0/2000,9:20:40,-12.1140298843,-76.9366073608,366.50,18520000.00
0/0/2000,9:20:43,-12.1140699386,-76.9366607666,366.30,18520000.00
0/0/2000,9:20:46,-12.1140804290,-76.9366989135,366.00,18520000.00
0/0/2000,9:20:49,-12.1141099929,-76.9367523193,366.40,18520000.00
0/0/2000,9:20:52,-12.1141300201,-76.9367980957,366.00,18520000.00
0/0/2000,9:20:55,-12.1141500473,-76.9368515014,366.20,18520000.00
0/0/2000,9:20:58,-12.1142101287,-76.9368896484,363.30,18520000.00
0/0/2000,9:21:1,-12.1142702102,-76.9369277954,361.00,18520000.00
0/0/2000,9:21:4,-12.1143102645,-76.9369735717,359.30,18520000.00
0/0/2000,9:21:7,-12.1143598556,-76.9370117187,357.30,18520000.00
0/0/2000,9:21:10,-12.1143903732,-76.9370727539,358.90,18520000.00
0/0/2000,9:21:13,-12.1144399642,-76.9371185302,359.00,18520000.00
0/0/2000,9:21:16,-12.1144695281,-76.9371719360,358.30,18520000.00
0/0/2000,9:21:19,-12.1145000457,-76.9372100830,358.10,18520000.00
0/0/2000,9:21:22,-12.1145401000,-76.9372711181,359.10,18520000.00
0/0/2000,9:21:25,-12.1145601272,-76.9373168945,359.70,18520000.00
0/0/2000,9:21:28,-12.1145896911,-76.9373626708,357.70,18520000.00
0/0/2000,9:21:31,-12.1146097183,-76.9374084472,359.10,18520000.00
0/0/2000,9:21:34,-12.1146297454,-76.9374618530,360.90,18520000.00
0/0/2000,9:21:37,-12.1146697998,-76.9375000000,360.30,18520000.00
0/0/2000,9:21:40,-12.1147098541,-76.9375381469,359.40,18520000.00
0/0/2000,9:21:43,-12.1147403717,-76.9375686645,357.80,18520000.00
0/0/2000,9:21:46,-12.1147899627,-76.9376068115,357.00,18520000.00
0/0/2000,9:21:49,-12.1148300170,-76.9376373291,351.90,18520000.00
0/0/2000,9:21:52,-12.1148796081,-76.9376831054,348.40,18520000.00
0/0/2000,9:21:55,-12.1149396896,-76.9377288818,345.40,18520000.00
0/0/2000,9:21:58,-12.1149902343,-76.9377670288,343.80,18520000.00
0/0/2000,9:22:1,-12.1150302886,-76.9378128051,341.00,18520000.00
0/0/2000,9:22:4,-12.1150703430,-76.9378509521,337.50,18520000.00
0/0/2000,9:22:7,-12.1150999069,-76.9378890991,335.00,18520000.00
0/0/2000,9:22:10,-12.1151304244,-76.9379425048,336.00,18520000.00
0/0/2000,9:22:13,-12.1151695251,-76.9379806518,336.60,18520000.00
0/0/2000,9:22:16,-12.1152000427,-76.9380416870,340.20,18520000.00
0/0/2000,9:22:19,-12.1152400970,-76.9380798339,342.90,18520000.00
0/0/2000,9:22:22,-12.1152801513,-76.9381179809,341.70,18520000.00
0/0/2000,9:22:25,-12.1153202056,-76.9381637573,340.10,18520000.00
0/0/2000,9:22:28,-12.1153497695,-76.9382019042,339.10,18520000.00
0/0/2000,9:22:31,-12.1154003143,-76.9382476806,341.20,18520000.00
0/0/2000,9:22:34,-12.1154403686,-76.9382934570,343.10,18520000.00
0/0/2000,9:22:37,-12.1154699325,-76.9383392333,344.20,18520000.00
0/0/2000,9:22:40,-12.1155195236,-76.9383773803,343.70,18520000.00
0/0/2000,9:22:43,-12.1155700683,-76.9384231567,343.90,18520000.00
0/0/2000,9:22:46,-12.1156196594,-76.9384613037,343.40,18520000.00
0/0/2000,9:22:49,-12.1156501770,-76.9385070800,345.20,18520000.00
0/0/2000,9:22:52,-12.1156902313,-76.9385528564,344.80,18520000.00
0/0/2000,9:22:55,-12.1157197952,-76.9385910034,344.20,18520000.00
0/0/2000,9:22:58,-12.1157503128,-76.9386291503,345.20,18520000.00
0/0/2000,9:23:1,-12.1157903671,-76.9386825561,346.30,18520000.00
0/0/2000,9:23:4,-12.1158304214,-76.9387207031,346.70,18520000.00
0/0/2000,9:23:7,-12.1158599853,-76.9387664794,347.10,18520000.00
0/0/2000,9:23:10,-12.1158895492,-76.9388122558,347.90,18520000.00
0/0/2000,9:23:13,-12.1159296035,-76.9388580322,347.30,18520000.00
0/0/2000,9:23:16,-12.1159801483,-76.9389114379,347.60,18520000.00
0/0/2000,9:23:19,-12.1160097122,-76.9389495849,349.10,18520000.00
0/0/2000,9:23:22,-12.1160297393,-76.9390029907,350.40,18520000.00
0/0/2000,9:23:25,-12.1160602569,-76.9390563964,350.40,18520000.00
0/0/2000,9:23:28,-12.1160697937,-76.9391174316,350.90,18520000.00
0/0/2000,9:23:31,-12.1160602569,-76.9391632080,349.40,18520000.00
0/0/2000,9:23:34,-12.1160402297,-76.9392166137,350.90,18520000.00
0/0/2000,9:23:37,-12.1160097122,-76.9392700195,353.50,18520000.00
0/0/2000,9:23:40,-12.1159801483,-76.9393081665,354.60,18520000.00
0/0/2000,9:23:43,-12.1159400939,-76.9393615722,354.90,18520000.00
0/0/2000,9:23:46,-12.1158895492,-76.9393997192,356.10,18520000.00
0/0/2000,9:23:49,-12.1158504486,-76.9394378662,356.20,18520000.00
0/0/2000,9:23:52,-12.1158103942,-76.9394836425,358.40,18520000.00
0/0/2000,9:23:55,-12.1157598495,-76.9395217895,361.80,18520000.00
0/0/2000,9:23:58,-12.1157197952,-76.9395675659,365.70,18520000.00
0/0/2000,9:24:1,-12.1156902313,-76.9395980834,367.20,18520000.00
0/0/2000,9:24:4,-12.1156501770,-76.9396514892,367.80,18520000.00
0/0/2000,9:24:7,-12.1156101226,-76.9396896362,369.90,18520000.00
0/0/2000,9:24:10,-12.1155700683,-76.9397125244,373.70,18520000.00
0/0/2000,9:24:13,-12.1155195236,-76.9397506713,374.40,18520000.00
0/0/2000,9:24:16,-12.1154699325,-76.9398117065,373.70,18520000.00
0/0/2000,9:24:19,-12.1154403686,-76.9398498535,372.70,18520000.00
0/0/2000,9:24:22,-12.1154003143,-76.9398727416,373.70,18520000.00
0/0/2000,9:24:25,-12.1153602600,-76.9399032592,375.10,18520000.00
0/0/2000,9:24:28,-12.1153001785,-76.9399490356,375.50,18520000.00
0/0/2000,9:24:31,-12.1152496337,-76.9400024414,374.80,18520000.00
0/0/2000,9:24:34,-12.1152095794,-76.9400405883,373.00,18520000.00
0/0/2000,9:24:37,-12.1151695251,-76.9400711059,371.10,18520000.00
0/0/2000,9:24:40,-12.1151304244,-76.9401092529,370.80,18520000.00
0/0/2000,9:24:43,-12.1150903701,-76.9401473999,369.10,18520000.00
0/0/2000,9:24:46,-12.1150503158,-76.9401779174,368.90,18520000.00
0/0/2000,9:24:49,-12.1150197982,-76.9402084350,367.80,18520000.00
0/0/2000,9:24:52,-12.1149797439,-76.9402465820,367.00,18520000.00
0/0/2000,9:24:55,-12.1149396896,-76.9402770996,366.20,18520000.00
0/0/2000,9:24:58,-12.1148996353,-76.9402999877,366.00,18520000.00
0/0/2000,9:25:1,-12.1148500442,-76.9403381347,365.10,18520000.00
0/0/2000,9:25:4,-12.1148004531,-76.9403762817,363.80,18520000.00
0/0/2000,9:25:7,-12.1147499084,-76.9404067993,362.10,18520000.00
0/0/2000,9:25:10,-12.1147098541,-76.9404602050,360.10,18520000.00
0/0/2000,9:25:13,-12.1146602630,-76.9405136108,359.40,18520000.00
0/0/2000,9:25:16,-12.1146097183,-76.9405517578,358.00,18520000.00
0/0/2000,9:25:19,-12.1145601272,-76.9405899047,357.20,18520000.00
0/0/2000,9:25:22,-12.1145200729,-76.9406433105,355.40,18520000.00
0/0/2000,9:25:25,-12.1144599914,-76.9406814575,353.90,18520000.00
0/0/2000,9:25:28,-12.1144104003,-76.9407196044,351.90,18520000.00
0/0/2000,9:25:31,-12.1143598556,-76.9407730102,349.60,18520000.00
0/0/2000,9:25:34,-12.1143102645,-76.9408035278,346.40,18520000.00
0/0/2000,9:25:37,-12.1142702102,-76.9408493041,345.10,18520000.00
0/0/2000,9:25:40,-12.1142196655,-76.9409027099,344.60,18520000.00
0/0/2000,9:25:43,-12.1141796112,-76.9409332275,342.70,18520000.00
0/0/2000,9:25:46,-12.1141300201,-76.9409866333,342.60,18520000.00
0/0/2000,9:25:49,-12.1140899658,-76.9410171508,342.70,18520000.00
0/0/2000,9:25:52,-12.1140499114,-76.9410629272,341.80,18520000.00
0/0/2000,9:25:55,-12.1140098571,-76.9410934448,341.00,18520000.00
0/0/2000,9:25:58,-12.1139602661,-76.9411163330,341.00,18520000.00
0/0/2000,9:26:1,-12.1139202117,-76.9411468505,339.70,18520000.00
0/0/2000,9:26:4,-12.1138801574,-76.9411926269,338.20,18520000.00
0/0/2000,9:26:7,-12.1138296127,-76.9412307739,337.00,18520000.00
0/0/2000,9:26:10,-12.1137800216,-76.9412612915,336.40,18520000.00
0/0/2000,9:26:13,-12.1137304306,-76.9412994384,336.40,18520000.00
0/0/2000,9:26:16,-12.1136798858,-76.9413299560,336.30,18520000.00
0/0/2000,9:26:19,-12.1136302947,-76.9413681030,337.00,18520000.00
