Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,11:2:38,-12.1114101409,-76.9403610229,-8.70,18520000.00
0/0/2000,11:2:41,-12.1113996505,-76.9403686523,-8.70,18520000.00
0/0/2000,11:2:44,-12.1112804412,-76.9403305053,-8.70,18520000.00
0/0/2000,11:2:47,-12.1114397048,-76.9403228759,-8.70,18520000.00
0/0/2000,11:3:4,-12.1117601394,-76.9404067993,-8.70,18520000.00
0/0/2000,11:3:7,-12.1117601394,-76.9402313232,-8.70,18520000.00
0/0/2000,11:3:10,-12.1117200851,-76.9403610229,-8.70,18520000.00
0/0/2000,11:3:16,-12.1117200851,-76.9403305053,-8.70,18520000.00
0/0/2000,11:3:19,-12.1117095947,-76.9402999877,-8.70,18520000.00
0/0/2000,11:3:22,-12.1117200851,-76.9403533935,-8.70,18520000.00
0/0/2000,11:3:25,-12.1117801666,-76.9402236938,-8.70,18520000.00
0/0/2000,11:3:28,-12.1116399765,-76.9402618408,-8.70,18520000.00
0/0/2000,11:3:31,-12.1117296218,-76.9402923583,-8.70,18520000.00
0/0/2000,11:3:34,-12.1117696762,-76.9403762817,-8.70,18520000.00
0/0/2000,11:3:37,-12.1117095947,-76.9403915405,-8.70,18520000.00
0/0/2000,11:3:40,-12.1116800308,-76.9403610229,-8.70,18520000.00
0/0/2000,11:3:43,-12.1116800308,-76.9403686523,-8.70,18520000.00
0/0/2000,11:3:46,-12.1117200851,-76.9405593872,-8.70,18520000.00
0/0/2000,11:3:49,-12.1115999221,-76.9405136108,-8.70,18520000.00
0/0/2000,11:3:52,-12.1116695404,-76.9404983520,-8.70,18520000.00
0/0/2000,11:3:55,-12.1117801666,-76.9404525756,-8.70,18520000.00
0/0/2000,11:3:58,-12.1118497848,-76.9404373168,-8.70,18520000.00
0/0/2000,11:4:1,-12.1119003295,-76.9403762817,-8.70,18520000.00
0/0/2000,11:4:4,-12.1119003295,-76.9403305053,-8.70,18520000.00
0/0/2000,11:4:7,-12.1119604110,-76.9402236938,-8.70,18520000.00
0/0/2000,11:4:10,-12.1120004653,-76.9402008056,-8.70,18520000.00
0/0/2000,11:4:13,-12.1120796203,-76.9401016235,-8.70,18520000.00
0/0/2000,11:4:16,-12.1120796203,-76.9402236938,-8.70,18520000.00
0/0/2000,11:4:19,-12.1121397018,-76.9401397705,-8.70,18520000.00
0/0/2000,11:4:22,-12.1121797561,-76.9401626586,-8.70,18520000.00
0/0/2000,11:4:25,-12.1122102737,-76.9401626586,-8.70,18520000.00
0/0/2000,11:4:28,-12.1122703552,-76.9402465820,-8.70,18520000.00
0/0/2000,11:4:31,-12.1120004653,-76.9388885498,359.10,18520000.00
0/0/2000,11:4:34,-12.1120395660,-76.9388427734,345.50,18520000.00
0/0/2000,11:4:37,-12.1120700836,-76.9388427734,350.70,18520000.00
0/0/2000,11:4:40,-12.1120996475,-76.9388275146,353.10,18520000.00
0/0/2000,11:4:43,-12.1121397018,-76.9388122558,354.40,18520000.00
0/0/2000,11:4:46,-12.1121797561,-76.9387817382,353.10,18520000.00
0/0/2000,11:4:49,-12.1122102737,-76.9387512207,353.30,18520000.00
0/0/2000,11:4:52,-12.1122503280,-76.9387207031,353.20,18520000.00
0/0/2000,11:4:55,-12.1122798919,-76.9386978149,355.10,18520000.00
0/0/2000,11:4:58,-12.1123199462,-76.9386825561,357.20,18520000.00
0/0/2000,11:5:1,-12.1123399734,-76.9386672973,359.20,18520000.00
0/0/2000,11:5:4,-12.1123800277,-76.9386367797,360.00,18520000.00
0/0/2000,11:5:7,-12.1124095916,-76.9386291503,360.60,18520000.00
0/0/2000,11:5:10,-12.1124496459,-76.9386062622,361.90,18520000.00
0/0/2000,11:5:13,-12.1124801635,-76.9385986328,364.40,18520000.00
0/0/2000,11:5:16,-12.1125202178,-76.9385833740,364.50,18520000.00
0/0/2000,11:5:19,-12.1125602722,-76.9385528564,362.70,18520000.00
0/0/2000,11:5:22,-12.1126003265,-76.9385070800,361.90,18520000.00
0/0/2000,11:5:25,-12.1126403808,-76.9384765625,361.70,18520000.00
