Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,10:11:14,-12.1114902496,-76.9389724731,322.00,18520000.00
0/0/2000,10:11:22,-12.1110095977,-76.9391708374,322.00,18520000.00
0/0/2000,10:11:25,-12.1113700866,-76.9390869140,331.90,18520000.00
0/0/2000,10:11:28,-12.1113100051,-76.9391098022,325.80,18520000.00
4/2/2023,10:11:31,-12.1113100051,-76.9391098022,325.80,0.54
4/2/2023,10:11:34,-12.1113195419,-76.9391174316,325.80,2.17
4/2/2023,10:11:37,-12.1113300323,-76.9391174316,322.10,2.17
4/2/2023,10:11:40,-12.1113500595,-76.9390716552,328.10,2.17
4/2/2023,10:11:43,-12.1113901138,-76.9390563964,328.10,2.17
4/2/2023,10:11:46,-12.1114397048,-76.9390335083,326.80,2.17
4/2/2023,10:11:49,-12.1114902496,-76.9390411376,326.10,2.17
4/2/2023,10:11:52,-12.1115398406,-76.9390182495,325.40,2.17
4/2/2023,10:11:55,-12.1115903854,-76.9390029907,324.80,2.17
4/2/2023,10:11:58,-12.1116304397,-76.9390029907,324.90,2.17
4/2/2023,10:12:1,-12.1116800308,-76.9390106201,323.60,2.17
4/2/2023,10:12:4,-12.1117296218,-76.9390029907,323.20,2.17
4/2/2023,10:12:7,-12.1117801666,-76.9389877319,322.40,2.17
4/2/2023,10:12:10,-12.1118297576,-76.9389877319,320.70,2.17
4/2/2023,10:12:13,-12.1118803024,-76.9389572143,321.90,2.17
4/2/2023,10:12:16,-12.1119203567,-76.9389038085,324.70,2.17
4/2/2023,10:12:19,-12.1119699478,-76.9388504028,327.70,2.17
4/2/2023,10:12:22,-12.1120195388,-76.9388198852,330.20,2.17
4/2/2023,10:12:25,-12.1120500564,-76.9387817382,332.10,2.17
4/2/2023,10:12:28,-12.1120996475,-76.9387512207,332.90,2.17
4/2/2023,10:12:31,-12.1121501922,-76.9387512207,331.90,2.17
4/2/2023,10:12:34,-12.1121902465,-76.9387130737,332.90,2.17
4/2/2023,10:12:37,-12.1122303009,-76.9386825561,334.10,2.17
4/2/2023,10:12:40,-12.1122703552,-76.9386672973,334.30,2.17
4/2/2023,10:12:43,-12.1123104095,-76.9386291503,336.00,2.17
4/2/2023,10:12:46,-12.1123504638,-76.9386062622,335.50,2.17
4/2/2023,10:12:49,-12.1123895645,-76.9385910034,335.40,2.17
4/2/2023,10:12:52,-12.1124296188,-76.9385681152,335.50,2.17
4/2/2023,10:12:55,-12.1124696731,-76.9385528564,336.30,2.17
4/2/2023,10:12:58,-12.1125097274,-76.9385223388,337.70,2.17
4/2/2023,10:13:1,-12.1125497817,-76.9384918212,338.50,2.17
4/2/2023,10:13:4,-12.1125898361,-76.9384613037,340.10,2.17
4/2/2023,10:13:7,-12.1126403808,-76.9384307861,340.90,2.17
4/2/2023,10:13:10,-12.1126699447,-76.9384002685,340.80,2.17
4/2/2023,10:13:13,-12.1127099990,-76.9383773803,340.90,2.17
