Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,9:13:32,-12.1114997863,-76.9392700195,325.50,18520000.00
0/0/2000,9:13:35,-12.1114797592,-76.9392166137,302.00,18520000.00
0/0/2000,9:13:38,-12.1114702224,-76.9391403198,293.50,18520000.00
0/0/2000,9:13:41,-12.1114902496,-76.9390869140,291.30,18520000.00
0/0/2000,9:13:44,-12.1114997863,-76.9390411376,289.10,18520000.00
0/0/2000,9:13:47,-12.1115102767,-76.9389877319,286.90,18520000.00
0/0/2000,9:13:50,-12.1115303039,-76.9389419555,284.70,18520000.00
0/0/2000,9:13:57,-12.1115303039,-76.9393386840,306.50,18520000.00
0/0/2000,9:14:0,-12.1115798950,-76.9397506713,307.30,18520000.00
0/0/2000,9:14:3,-12.1116399765,-76.9398193359,319.90,18520000.00
0/0/2000,9:14:6,-12.1115598678,-76.9395065307,313.80,18520000.00
0/0/2000,9:14:9,-12.1115303039,-76.9394302368,318.10,18520000.00
0/0/2000,9:14:12,-12.1114501953,-76.9392700195,308.90,18520000.00
0/0/2000,9:14:16,-12.1114301681,-76.9392318725,313.30,18520000.00
0/0/2000,9:14:19,-12.1113996505,-76.9392089843,316.00,18520000.00
0/0/2000,9:14:22,-12.1113901138,-76.9391632080,313.90,18520000.00
0/0/2000,9:14:25,-12.1113796234,-76.9391403198,314.30,18520000.00
0/0/2000,9:14:28,-12.1113700866,-76.9391326904,316.50,18520000.00
0/0/2000,9:14:31,-12.1113796234,-76.9391098022,317.70,18520000.00
0/0/2000,9:14:51,-12.1114997863,-76.9391708374,297.10,18520000.00
5/25/2023,9:14:54,-12.1115903854,-76.9388427734,297.10,0.85
5/25/2023,9:15:2,-12.1115398406,-76.9392395019,290.00,0.85
5/25/2023,9:15:5,-12.1116304397,-76.9390869140,302.20,0.85
5/25/2023,9:15:8,-12.1117095947,-76.9388809204,342.10,0.85
5/25/2023,9:15:12,-12.1117401123,-76.9388809204,342.50,0.85
