Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,9:6:24,-12.1111297607,-76.9390487670,336.70,18520000.00
0/0/2000,9:6:27,-12.1111803054,-76.9390869140,355.20,18520000.00
0/0/2000,9:6:30,-12.1112298965,-76.9391021728,358.30,18520000.00
0/0/2000,9:6:33,-12.1112203598,-76.9390869140,363.10,18520000.00
0/0/2000,9:6:36,-12.1112499237,-76.9391021728,366.20,18520000.00
0/0/2000,9:6:39,-12.1112899780,-76.9390487670,346.40,18520000.00
0/0/2000,9:6:42,-12.1113195419,-76.9390716552,342.90,18520000.00
0/0/2000,9:6:45,-12.1113004684,-76.9390869140,331.80,18520000.00
0/0/2000,9:6:48,-12.1113395690,-76.9391098022,332.60,18520000.00
0/0/2000,9:6:51,-12.1113300323,-76.9391021728,331.60,18520000.00
0/0/2000,9:6:54,-12.1113796234,-76.9390487670,321.70,18520000.00
0/0/2000,9:6:57,-12.1114101409,-76.9389877319,314.10,18520000.00
4/12/2023,9:7:0,-12.1113700866,-76.9390182495,314.10,0.93
4/12/2023,9:7:3,-12.1113395690,-76.9390411376,314.10,1.89
4/12/2023,9:7:6,-12.1113500595,-76.9390487670,327.70,1.89
4/12/2023,9:7:9,-12.1113300323,-76.9390487670,328.30,1.89
4/12/2023,9:7:12,-12.1113500595,-76.9390182495,326.40,1.89
4/12/2023,9:7:15,-12.1113996505,-76.9390106201,325.50,1.89
4/12/2023,9:7:18,-12.1114597320,-76.9390106201,324.20,1.89
4/12/2023,9:7:21,-12.1114997863,-76.9390029907,321.60,1.89
4/12/2023,9:7:24,-12.1115503311,-76.9389877319,320.30,1.89
4/12/2023,9:7:27,-12.1115903854,-76.9390029907,318.60,1.89
4/12/2023,9:7:30,-12.1116399765,-76.9390029907,316.30,1.89
4/12/2023,9:7:33,-12.1116895675,-76.9390029907,316.60,1.89
4/12/2023,9:7:36,-12.1117401123,-76.9390029907,315.50,1.89
4/12/2023,9:7:39,-12.1117801666,-76.9389877319,314.60,1.89
4/12/2023,9:7:42,-12.1118097305,-76.9389801025,315.00,1.89
4/12/2023,9:7:45,-12.1118497848,-76.9389495849,316.30,1.89
4/12/2023,9:7:48,-12.1118898391,-76.9389114379,318.60,1.89
