Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,10:52:51,-12.1142396926,-76.9371490478,337.00,18520000.00
0/0/2000,10:52:54,-12.1142396926,-76.9370574951,338.50,18520000.00
0/0/2000,10:52:57,-12.1142501831,-76.9370117187,345.30,18520000.00
0/0/2000,10:53:0,-12.1142101287,-76.9369735717,347.40,18520000.00
0/0/2000,10:53:3,-12.1141595840,-76.9369277954,349.10,18520000.00
0/0/2000,10:53:6,-12.1141300201,-76.9368972778,346.90,18520000.00
0/0/2000,10:53:9,-12.1141099929,-76.9368820190,348.50,18520000.00
0/0/2000,10:53:12,-12.1140899658,-76.9368515014,349.60,18520000.00
0/0/2000,10:53:15,-12.1140699386,-76.9367980957,351.70,18520000.00
0/0/2000,10:53:18,-12.1140403747,-76.9367828369,349.30,18520000.00
0/0/2000,10:53:21,-12.1140098571,-76.9367675781,346.50,18520000.00
0/0/2000,10:53:24,-12.1139898300,-76.9367370605,343.10,18520000.00
0/0/2000,10:53:27,-12.1139497756,-76.9366989135,341.60,18520000.00
0/0/2000,10:53:30,-12.1139202117,-76.9366531372,342.20,18520000.00
0/0/2000,10:53:33,-12.1138896942,-76.9366073608,344.00,18520000.00
0/0/2000,10:53:36,-12.1138801574,-76.9365921020,346.50,18520000.00
0/0/2000,10:53:41,-12.1138896942,-76.9365615844,352.30,18520000.00
0/0/2000,10:53:44,-12.1138896942,-76.9365463256,353.40,18520000.00
0/0/2000,10:53:47,-12.1138896942,-76.9365081787,352.90,18520000.00
0/0/2000,10:53:50,-12.1138696670,-76.9364471435,353.30,18520000.00
0/0/2000,10:53:53,-12.1138601303,-76.9364013671,352.90,18520000.00
0/0/2000,10:53:56,-12.1138801574,-76.9363784790,352.90,18520000.00
0/0/2000,10:53:59,-12.1139097213,-76.9364089965,351.40,18520000.00
0/0/2000,10:54:2,-12.1139497756,-76.9364700317,351.10,18520000.00
0/0/2000,10:54:5,-12.1139898300,-76.9365310668,351.40,18520000.00
0/0/2000,10:54:8,-12.1140203475,-76.9365692138,351.90,18520000.00
0/0/2000,10:54:11,-12.1140499114,-76.9365997314,352.00,18520000.00
0/0/2000,10:54:14,-12.1140804290,-76.9366302490,353.50,18520000.00
0/0/2000,10:54:17,-12.1141099929,-76.9366836547,352.30,18520000.00
0/0/2000,10:54:20,-12.1141300201,-76.9366989135,352.10,18520000.00
0/0/2000,10:54:23,-12.1141700744,-76.9367370605,351.40,18520000.00
0/0/2000,10:54:26,-12.1141901016,-76.9367675781,351.00,18520000.00
0/0/2000,10:54:29,-12.1141996383,-76.9367904663,351.30,18520000.00
0/0/2000,10:54:32,-12.1142301559,-76.9368362426,350.80,18520000.00
0/0/2000,10:54:35,-12.1142702102,-76.9368896484,350.30,18520000.00
0/0/2000,10:54:38,-12.1142997741,-76.9369201660,350.20,18520000.00
0/0/2000,10:54:41,-12.1143302917,-76.9369812011,350.10,18520000.00
0/0/2000,10:54:44,-12.1143703460,-76.9370574951,347.70,18520000.00
0/0/2000,10:54:47,-12.1143999099,-76.9371032714,346.20,18520000.00
0/0/2000,10:54:50,-12.1144504547,-76.9371414184,347.80,18520000.00
0/0/2000,10:54:53,-12.1144895553,-76.9372100830,345.70,18520000.00
0/0/2000,10:54:56,-12.1145200729,-76.9372634887,345.70,18520000.00
0/0/2000,10:54:59,-12.1145296096,-76.9372711181,345.00,18520000.00
0/0/2000,10:55:2,-12.1145496368,-76.9373321533,344.50,18520000.00
0/0/2000,10:55:5,-12.1145801544,-76.9373779296,343.40,18520000.00
0/0/2000,10:55:8,-12.1146202087,-76.9374084472,342.70,18520000.00
0/0/2000,10:55:11,-12.1146402359,-76.9374389648,344.70,18520000.00
0/0/2000,10:55:14,-12.1146898269,-76.9374618530,348.90,18520000.00
0/0/2000,10:55:17,-12.1147098541,-76.9374923706,348.70,18520000.00
0/0/2000,10:55:20,-12.1147499084,-76.9375076293,349.20,18520000.00
0/0/2000,10:55:23,-12.1147899627,-76.9375686645,348.10,18520000.00
0/0/2000,10:55:26,-12.1148395538,-76.9375991821,347.50,18520000.00
0/0/2000,10:55:29,-12.1148700714,-76.9376296997,346.70,18520000.00
0/0/2000,10:55:32,-12.1148900985,-76.9376220703,345.80,18520000.00
0/0/2000,10:55:35,-12.1149301528,-76.9376983642,344.70,18520000.00
0/0/2000,10:55:38,-12.1149501800,-76.9377517700,344.70,18520000.00
0/0/2000,10:55:41,-12.1149597167,-76.9377670288,349.10,18520000.00
0/0/2000,10:55:44,-12.1150197982,-76.9378585815,348.90,18520000.00
0/0/2000,10:55:47,-12.1150798797,-76.9379272460,348.90,18520000.00
0/0/2000,10:55:50,-12.1151103973,-76.9379425048,349.80,18520000.00
0/0/2000,10:55:53,-12.1151304244,-76.9379577636,349.10,18520000.00
0/0/2000,10:55:56,-12.1151504516,-76.9379577636,350.40,18520000.00
0/0/2000,10:55:59,-12.1151800155,-76.9380035400,349.60,18520000.00
0/0/2000,10:56:2,-12.1152000427,-76.9380264282,349.50,18520000.00
0/0/2000,10:56:5,-12.1152400970,-76.9380798339,349.70,18520000.00
0/0/2000,10:56:8,-12.1152601242,-76.9381027221,350.00,18520000.00
0/0/2000,10:56:11,-12.1153001785,-76.9381408691,350.40,18520000.00
0/0/2000,10:56:14,-12.1153202056,-76.9381790161,349.20,18520000.00
0/0/2000,10:56:17,-12.1153402328,-76.9382019042,349.10,18520000.00
0/0/2000,10:56:20,-12.1153802871,-76.9382476806,348.40,18520000.00
0/0/2000,10:56:23,-12.1154098510,-76.9382934570,348.00,18520000.00
0/0/2000,10:56:26,-12.1154499053,-76.9383316040,348.70,18520000.00
0/0/2000,10:56:29,-12.1154603958,-76.9383468627,348.20,18520000.00
0/0/2000,10:56:32,-12.1154804229,-76.9383621215,348.40,18520000.00
0/0/2000,10:56:35,-12.1155195236,-76.9384002685,349.60,18520000.00
0/0/2000,10:56:38,-12.1155595779,-76.9384231567,351.20,18520000.00
0/0/2000,10:56:41,-12.1155900955,-76.9384918212,350.10,18520000.00
0/0/2000,10:56:44,-12.1156196594,-76.9385223388,350.70,18520000.00
0/0/2000,10:56:47,-12.1156501770,-76.9385681152,349.60,18520000.00
0/0/2000,10:56:50,-12.1156797409,-76.9386062622,349.20,18520000.00
0/0/2000,10:56:53,-12.1157102584,-76.9386520385,348.00,18520000.00
0/0/2000,10:56:56,-12.1157598495,-76.9387130737,349.40,18520000.00
0/0/2000,10:56:59,-12.1157903671,-76.9387435913,348.50,18520000.00
0/0/2000,10:57:2,-12.1158304214,-76.9387893676,348.30,18520000.00
0/0/2000,10:57:5,-12.1158504486,-76.9388275146,349.30,18520000.00
0/0/2000,10:57:8,-12.1158800125,-76.9388504028,352.50,18520000.00
0/0/2000,10:57:11,-12.1159095764,-76.9388885498,353.00,18520000.00
