Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,9:15:30,-12.1132698059,-76.9379425048,332.60,18520000.00
0/0/2000,9:15:33,-12.1133403778,-76.9378890991,344.70,18520000.00
0/0/2000,9:15:36,-12.1133403778,-76.9378814697,342.30,18520000.00
0/0/2000,9:15:39,-12.1133499145,-76.9378509521,342.90,18520000.00
0/0/2000,9:15:42,-12.1133699417,-76.9378280639,338.40,18520000.00
0/0/2000,9:15:45,-12.1133804321,-76.9378128051,335.80,18520000.00
0/0/2000,9:15:48,-12.1134099960,-76.9377899169,334.00,18520000.00
0/0/2000,9:15:51,-12.1134195327,-76.9377670288,332.30,18520000.00
0/0/2000,9:15:54,-12.1134595870,-76.9377517700,331.30,18520000.00
0/0/2000,9:15:57,-12.1134901046,-76.9377212524,331.50,18520000.00
0/0/2000,9:16:0,-12.1135101318,-76.9376983642,330.00,18520000.00
0/0/2000,9:16:3,-12.1135501861,-76.9376678466,329.40,18520000.00
0/0/2000,9:16:6,-12.1135702133,-76.9376525878,328.00,18520000.00
0/0/2000,9:16:9,-12.1135902404,-76.9376220703,327.80,18520000.00
0/0/2000,9:16:12,-12.1136198043,-76.9375991821,327.70,18520000.00
0/0/2000,9:16:15,-12.1136398315,-76.9375686645,327.90,18520000.00
0/0/2000,9:16:18,-12.1136598587,-76.9375534057,326.90,18520000.00
0/0/2000,9:16:21,-12.1136798858,-76.9375534057,326.40,18520000.00
0/0/2000,9:16:24,-12.1136999130,-76.9375305175,326.80,18520000.00
0/0/2000,9:16:27,-12.1137504577,-76.9375076293,328.00,18520000.00
0/0/2000,9:16:30,-12.1137895584,-76.9374923706,329.10,18520000.00
0/0/2000,9:16:33,-12.1138200759,-76.9374771118,330.90,18520000.00
0/0/2000,9:16:36,-12.1138401031,-76.9374618530,331.40,18520000.00
5/22/2023,9:16:39,-12.1138296127,-76.9374389648,10000000.00,0.28
5/22/2023,9:16:42,-12.1138496398,-76.9374389648,330.60,0.28
5/22/2023,9:16:45,-12.1138801574,-76.9374084472,333.10,0.28
5/22/2023,9:16:48,-12.1139097213,-76.9373779296,334.60,0.28
5/22/2023,9:16:51,-12.1139297485,-76.9373626708,336.20,0.28
5/22/2023,9:16:54,-12.1139497756,-76.9373321533,336.50,0.28
5/22/2023,9:16:57,-12.1139698028,-76.9373016357,338.20,0.28
5/22/2023,9:17:0,-12.1139898300,-76.9372482299,339.50,0.28
5/22/2023,9:17:3,-12.1140298843,-76.9372329711,341.60,0.28
5/22/2023,9:17:6,-12.1140499114,-76.9372100830,342.60,0.28
5/22/2023,9:17:9,-12.1140699386,-76.9371795654,342.50,0.28
5/22/2023,9:17:12,-12.1140604019,-76.9371566772,341.90,0.28
5/22/2023,9:17:15,-12.1141004562,-76.9371337890,342.60,0.28
5/22/2023,9:17:18,-12.1141395568,-76.9371109008,341.20,0.28
5/22/2023,9:17:21,-12.1141700744,-76.9370803833,339.00,0.28
5/22/2023,9:17:24,-12.1141996383,-76.9370498657,336.90,0.28
5/22/2023,9:17:27,-12.1141901016,-76.9370269775,333.80,0.28
5/22/2023,9:17:30,-12.1141996383,-76.9369812011,336.40,0.28
5/22/2023,9:17:33,-12.1141996383,-76.9369430541,338.10,0.28
5/22/2023,9:17:36,-12.1141901016,-76.9368972778,339.20,0.28
5/22/2023,9:17:39,-12.1141595840,-76.9368820190,341.90,0.28
5/22/2023,9:17:42,-12.1141500473,-76.9368362426,344.10,0.28
5/22/2023,9:17:45,-12.1141300201,-76.9367980957,345.40,0.28
5/22/2023,9:17:48,-12.1141195297,-76.9367828369,343.90,0.28
5/22/2023,9:17:51,-12.1140899658,-76.9367523193,346.10,0.28
5/22/2023,9:17:54,-12.1140298843,-76.9366989135,349.90,0.28
5/22/2023,9:17:58,-12.1139698028,-76.9366531372,355.50,0.28
5/22/2023,9:18:1,-12.1139202117,-76.9365463256,356.90,0.28
5/22/2023,9:18:4,-12.1138696670,-76.9364700317,359.00,0.28
5/22/2023,9:18:7,-12.1138496398,-76.9364089965,358.50,0.28
5/22/2023,9:18:10,-12.1138401031,-76.9363784790,357.40,0.28
5/22/2023,9:18:13,-12.1138401031,-76.9363403320,356.80,0.28
5/22/2023,9:18:16,-12.1138601303,-76.9363174438,358.40,0.28
5/22/2023,9:18:19,-12.1139001846,-76.9363403320,358.10,0.28
5/22/2023,9:18:22,-12.1139402389,-76.9363937377,356.00,0.28
5/22/2023,9:18:25,-12.1139698028,-76.9364471435,354.10,0.28
5/22/2023,9:18:28,-12.1139898300,-76.9365005493,350.80,0.28
5/22/2023,9:18:31,-12.1140098571,-76.9365463256,348.00,0.28
5/22/2023,9:18:34,-12.1140298843,-76.9366073608,348.70,0.28
5/22/2023,9:18:37,-12.1140604019,-76.9366607666,350.30,0.28
5/22/2023,9:18:40,-12.1140899658,-76.9367065429,349.40,0.28
5/22/2023,9:18:43,-12.1141195297,-76.9367523193,353.10,0.28
5/22/2023,9:18:46,-12.1141595840,-76.9367980957,349.00,0.28
5/22/2023,9:18:49,-12.1141901016,-76.9368667602,343.90,0.28
5/22/2023,9:18:52,-12.1142301559,-76.9369201660,336.00,0.28
5/22/2023,9:18:55,-12.1142597198,-76.9369583129,330.30,0.28
5/22/2023,9:18:58,-12.1142797470,-76.9369964599,331.10,0.28
5/22/2023,9:19:1,-12.1143198013,-76.9370498657,331.50,0.28
5/22/2023,9:19:4,-12.1143598556,-76.9371032714,331.00,0.28
5/22/2023,9:19:7,-12.1143999099,-76.9371566772,327.70,0.28
5/22/2023,9:19:10,-12.1144399642,-76.9372177124,328.10,0.28
5/22/2023,9:19:13,-12.1144695281,-76.9372711181,327.00,0.28
5/22/2023,9:19:16,-12.1145200729,-76.9373092651,326.90,0.28
5/22/2023,9:19:19,-12.1145496368,-76.9373626708,326.00,0.28
5/22/2023,9:19:22,-12.1145801544,-76.9373931884,327.10,0.28
5/22/2023,9:19:25,-12.1146202087,-76.9374389648,324.80,0.28
5/22/2023,9:19:28,-12.1146602630,-76.9374694824,324.50,0.28
5/22/2023,9:19:31,-12.1146802902,-76.9375000000,324.00,0.28
