Date,Tiempo,Lat,Long,Altitude,Speed
0/0/2000,9:19:11,-12.1112804412,-76.9391479492,324.90,18520000.00
0/0/2000,9:19:14,-12.1113796234,-76.9391174316,318.90,18520000.00
0/0/2000,9:19:17,-12.1113700866,-76.9390869140,321.40,18520000.00
0/0/2000,9:19:20,-12.1113100051,-76.9389495849,321.40,18520000.00
0/0/2000,9:19:23,-12.1113300323,-76.9389038085,322.30,18520000.00
0/0/2000,9:19:26,-12.1113901138,-76.9388885498,323.50,18520000.00
0/0/2000,9:19:29,-12.1114397048,-76.9388580322,326.60,18520000.00
0/0/2000,9:19:32,-12.1114797592,-76.9388198852,326.50,18520000.00
0/0/2000,9:19:35,-12.1115398406,-76.9388580322,330.20,18520000.00
0/0/2000,9:19:38,-12.1116600036,-76.9389572143,334.60,18520000.00
0/0/2000,9:19:41,-12.1117095947,-76.9389877319,334.10,18520000.00
0/0/2000,9:19:44,-12.1117801666,-76.9390487670,333.30,18520000.00
0/0/2000,9:19:47,-12.1118202209,-76.9390716552,330.00,18520000.00
0/0/2000,9:19:50,-12.1118497848,-76.9390792846,329.70,18520000.00
0/0/2000,9:19:53,-12.1118898391,-76.9390716552,326.40,18520000.00
0/0/2000,9:19:56,-12.1118898391,-76.9390182495,323.50,18520000.00
0/0/2000,9:19:59,-12.1118898391,-76.9389877319,321.90,18520000.00
0/0/2000,9:20:2,-12.1118898391,-76.9389419555,319.60,18520000.00
0/0/2000,9:20:5,-12.1119899749,-76.9390182495,320.10,18520000.00
0/0/2000,9:20:8,-12.1120996475,-76.9391479492,321.00,18520000.00
0/0/2000,9:20:11,-12.1121702194,-76.9391937255,320.30,18520000.00
0/0/2000,9:20:14,-12.1121501922,-76.9390716552,319.50,18520000.00
0/0/2000,9:20:17,-12.1121702194,-76.9390106201,318.40,18520000.00
0/0/2000,9:20:20,-12.1122198104,-76.9390029907,316.80,18520000.00
0/0/2000,9:20:23,-12.1121997833,-76.9388885498,314.20,18520000.00
0/0/2000,9:20:26,-12.1121797561,-76.9387893676,312.90,18520000.00
0/0/2000,9:20:29,-12.1121501922,-76.9386672973,308.90,18520000.00
0/0/2000,9:20:32,-12.1121397018,-76.9385910034,305.50,18520000.00
0/0/2000,9:20:35,-12.1121101379,-76.9384765625,301.00,18520000.00
0/0/2000,9:20:38,-12.1121702194,-76.9384765625,301.50,18520000.00
0/0/2000,9:20:41,-12.1122999191,-76.9385910034,305.00,18520000.00
0/0/2000,9:20:44,-12.1123695373,-76.9386291503,306.60,18520000.00
0/0/2000,9:20:47,-12.1124496459,-76.9386978149,308.20,18520000.00
0/0/2000,9:20:50,-12.1125698089,-76.9388275146,312.40,18520000.00
0/0/2000,9:20:53,-12.1126604080,-76.9388732910,316.90,18520000.00
0/0/2000,9:20:56,-12.1127300262,-76.9388580322,320.30,18520000.00
0/0/2000,9:20:59,-12.1128501892,-76.9389724731,322.70,18520000.00
0/0/2000,9:21:2,-12.1130504608,-76.9392089843,328.10,18520000.00
0/0/2000,9:21:5,-12.1131601333,-76.9392929077,330.90,18520000.00
0/0/2000,9:21:8,-12.1132402420,-76.9393386840,332.80,18520000.00
0/0/2000,9:21:11,-12.1133298873,-76.9394226074,332.10,18520000.00
0/0/2000,9:21:14,-12.1134099960,-76.9394989013,333.20,18520000.00
0/0/2000,9:21:17,-12.1134004592,-76.9393997192,332.30,18520000.00
0/0/2000,9:21:20,-12.1134796142,-76.9394836425,330.10,18520000.00
0/0/2000,9:21:23,-12.1134595870,-76.9393768310,328.80,18520000.00
0/0/2000,9:21:26,-12.1134099960,-76.9392166137,327.00,18520000.00
0/0/2000,9:21:29,-12.1134300231,-76.9391479492,328.30,18520000.00
0/0/2000,9:21:32,-12.1134195327,-76.9390716552,326.90,18520000.00
