path,Lat,Long,Time
/OpenCamera/IMG_20230319_071801_DRO.jpg,-12.0990200042,-76.950592041,44245
/OpenCamera/IMG_20230319_071832_DRO.jpg,-12.0995101928,-76.9503479003,44275
/OpenCamera/IMG_20230319_071901_DRO.jpg,-12.0999498367,-76.9501190185,44305
/OpenCamera/IMG_20230319_071934_DRO.jpg,-12.1004199981,-76.9499206542,44335
/OpenCamera/IMG_20230319_072006_DRO.jpg,-12.1009397506,-76.9496994018,44365
/OpenCamera/IMG_20230319_072033_DRO.jpg,-12.1014299392,-76.94947052,44395
/OpenCamera/IMG_20230319_072104_DRO.jpg,-12.101940155,-76.9492721557,44425
/OpenCamera/IMG_20230319_072131_DRO.jpg,-12.1024599075,-76.9491271972,44455
/OpenCamera/IMG_20230319_072202_DRO.jpg,-12.1028604507,-76.9488830566,44485
/OpenCamera/IMG_20230319_072235_DRO.jpg,-12.103269577,-76.9485473632,44515
/OpenCamera/IMG_20230319_072302_DRO.jpg,-12.1036701202,-76.9482192993,44545
/OpenCamera/IMG_20230319_072335_DRO.jpg,-12.1039896011,-76.9481887817,44575
/OpenCamera/IMG_20230319_072402_DRO.jpg,-12.1042203903,-76.9478912353,44605
/OpenCamera/IMG_20230319_072431_DRO.jpg,-12.1046104431,-76.9476394653,44635
/OpenCamera/IMG_20230319_072503_DRO.jpg,-12.1050395965,-76.9474029541,44665
/OpenCamera/IMG_20230319_072536_DRO.jpg,-12.1054296493,-76.9471664428,44695
/OpenCamera/IMG_20230319_072604_DRO.jpg,-12.1058502197,-76.9469299316,44725
/OpenCamera/IMG_20230319_072632_DRO.jpg,-12.1062297821,-76.9466934204,44755
/OpenCamera/IMG_20230319_072706_DRO.jpg,-12.1065797805,-76.9464416503,44785
/OpenCamera/IMG_20230319_072733_DRO.jpg,-12.1068601608,-76.9461898803,44815
/OpenCamera/IMG_20230319_072801_DRO.jpg,-12.1071100234,-76.9458618164,44845
/OpenCamera/IMG_20230319_072837_DRO.jpg,-12.1073598861,-76.9455413818,44875
